Column1,Column2,Column3,Column4,Column5,Column6,Column7,,
"Finish Date:,01/01/0001 00:00:00",,,,,,,,
"Finish Date Format:,G",,,,,,,,
"Finish Year:,0",,,,,,,,
"Finish Week:,52",,,,,,,,
"Manufacturing Year:,2022",,,,,,,,
"Manufacturing Week:,10",,,,,,,,
Cell ID,Total Time (Seconds),Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Cell_body_Upper_part (C),,
999999,1,1500,0,0,0,20,,
999999,2,1500,0,0,0,20,,
999999,3,1500,0,0,0,20,,
999999,4,1500,0,0,0,20,,
999999,5,1500,0,0,0,20,,
999999,6,1500,0,0,0,20,,
999999,7,1500,0,0,0,20,,
999999,8,1500,0,0,0,20,,
999999,9,1500,0,0,0,20,,
999999,10,1500,0,0,0,20,,
999999,11,1500,0,0,0,20,,
999999,12,1500,0,0,0,20,,
999999,13,1500,15000,0,0,20,,
999999,14,1500.000038,15000,4.166666667,0,20.00833333,,
999999,15,1500.000154,15000,8.333333333,0,20.01666667,,
999999,16,1500.000346,15000,12.5,0,20.025,,
999999,17,1500.000615,15000,16.66666667,0,20.03333333,,
999999,18,1500.000962,15000,20.83333333,0,20.04166667,,
999999,19,1500.001385,15000,25,0,20.05,,
999999,20,1500.001885,15000,29.16666667,0,20.05833333,,
999999,21,1500.002462,15000,33.33333333,0,20.06666667,,
999999,22,1500.003115,15000,37.5,0,20.075,,
999999,23,1500.003846,15000,41.66666667,0,20.08333333,,
999999,24,1500.004654,15000,45.83333333,0,20.09166667,,
999999,25,1500.005538,15000,50,0,20.1,,
999999,26,1500.0065,15000,54.16666667,0,20.10833333,,
999999,27,1500.007538,15000,58.33333333,0,20.11666667,,
999999,28,1500.008654,15000,62.5,0,20.125,,
999999,29,1500.009846,15000,66.66666667,0,20.13333333,,
999999,30,1500.011115,15000,70.83333333,0,20.14166667,,
999999,31,1500.012462,15000,75,0,20.15,,
999999,32,1500.013885,15000,79.16666667,0,20.15833333,,
999999,33,1500.015385,15000,83.33333333,0,20.16666667,,
999999,34,1500.016962,15000,87.5,0,20.175,,
999999,35,1500.018615,15000,91.66666667,0,20.18333333,,
999999,36,1500.020346,15000,95.83333333,0,20.19166667,,
999999,37,1500.022154,15000,100,0,20.2,,
999999,38,1500.024038,15000,104.1666667,0,20.20833333,,
999999,39,1500.026,15000,108.3333333,0,20.21666667,,
999999,40,1500.028038,15000,112.5,0,20.225,,
999999,41,1500.030154,15000,116.6666667,0,20.23333333,,
999999,42,1500.032346,15000,120.8333333,0,20.24166667,,
999999,43,1500.034615,15000,125,0,20.25,,
999999,44,1500.036962,15000,129.1666667,0,20.25833333,,
999999,45,1500.039385,15000,133.3333333,0,20.26666667,,
999999,46,1500.041885,15000,137.5,0,20.275,,
999999,47,1500.044462,15000,141.6666667,0,20.28333333,,
999999,48,1500.047115,15000,145.8333333,0,20.29166667,,
999999,49,1500.049846,15000,150,0,20.3,,
999999,50,1500.052654,15000,154.1666667,0,20.30833333,,
999999,51,1500.055538,15000,158.3333333,0,20.31666667,,
999999,52,1500.0585,15000,162.5,0,20.325,,
999999,53,1500.061538,15000,166.6666667,0,20.33333333,,
999999,54,1500.064654,15000,170.8333333,0,20.34166667,,
999999,55,1500.067846,15000,175,0,20.35,,
999999,56,1500.071115,15000,179.1666667,0,20.35833333,,
999999,57,1500.074462,15000,183.3333333,0,20.36666667,,
999999,58,1500.077885,15000,187.5,0,20.375,,
999999,59,1500.081385,15000,191.6666667,0,20.38333333,,
999999,60,1500.084962,15000,195.8333333,0,20.39166667,,
999999,61,1500.088615,15000,200,0,20.4,,
999999,62,1500.092346,15000,204.1666667,0,20.40833333,,
999999,63,1500.096154,15000,208.3333333,0,20.41666667,,
999999,64,1500.100038,15000,212.5,0,20.425,,
999999,65,1500.104,15000,216.6666667,0,20.43333333,,
999999,66,1500.108038,15000,220.8333333,0,20.44166667,,
999999,67,1500.112154,15000,225,0,20.45,,
999999,68,1500.116346,15000,229.1666667,0,20.45833333,,
999999,69,1500.120615,15000,233.3333333,0,20.46666667,,
999999,70,1500.124962,15000,237.5,0,20.475,,
